Course ID,Level,Course Name,Credit Hours,Section Letters,CRNs,Days Met,Locations,Professors,Course Description,Full Text
ARCH 3016,Undergraduate,Architecture Design Studio 4,5,A;AB;GJ;JK;JL;LA,89548;92405;89549;92298;89550;89489,M;M;M;M;M;M,TBA;TBA;TBA;TBA;TBA;TBA,;;;;;,Intermediate architectural design projects emphasizing the functional priorities and expressive potential of building technologies through studio problems of varying programmatic and contextual complexity.,ARCH 3016 Architecture Design Studio 4 Intermediate architectural design projects emphasizing the functional priorities and expressive potential of building technologies through studio problems of varying programmatic and contextual complexity.
ARCH 3231,Undergraduate,Environmental Systems and Design Integration I,3,YE,85265,MW,Klaus Advanced Computing 2456,,"Human physiology, the occupation of space, and principles of sustainability.  Micro-climate, energy consumption, thermal loading, passive solar strategies, daylighting, optics, and acoustics.","ARCH 3231 Environmental Systems and Design Integration I Human physiology, the occupation of space, and principles of sustainability.  Micro-climate, energy consumption, thermal loading, passive solar strategies, daylighting, optics, and acoustics."
ARCH 4016,Undergraduate,Architecture Design Studio 6,5,A;HP;SK,89464;90626;89500,M;M;M,TBA;TBA;TBA,;;Sabir Khan (P),"Advanced studies in architectural design emphasizing application of analytical, conceptual, and representational skills within projects that engage and problematize urban context culturally, ecologically and technologically.","ARCH 4016 Architecture Design Studio 6 Advanced studies in architectural design emphasizing application of analytical, conceptual, and representational skills within projects that engage and problematize urban context culturally, ecologically and technologically."
ARCH 4140,Undergraduate,Modern and Contemporary Architectual Theory and Criticism,3,TBA,92349,TR,Scheller College of Business 200,,"Introduction to modern and contemporary architectural theory and criticism, including writings and manifestoes, analyses, projects and buildings.","ARCH 4140 Modern and Contemporary Architectual Theory and Criticism Introduction to modern and contemporary architectural theory and criticism, including writings and manifestoes, analyses, projects and buildings."
ARCH 4227,Undergraduate,Architecture and Ecology,3,FP,91767,MW,D.M. Smith 208,Frederick Pearsall (P),"Introduction to ecological design theory, research, and practice in architecture, including writings, criticism, and analyses of buildings and projects.","ARCH 4227 Architecture and Ecology Introduction to ecological design theory, research, and practice in architecture, including writings, criticism, and analyses of buildings and projects."
ARCH 4315,Undergraduate,Professional Practice of Architecture,3,RP,85150,TR,East Architecture 123,Stuart Romm (P),"Principles and framework of professional practice including ethics, legal climate, business practices and contracts, project process and management, office organization, and methods of building production.","ARCH 4315 Professional Practice of Architecture Principles and framework of professional practice including ethics, legal climate, business practices and contracts, project process and management, office organization, and methods of building production."
ARCH 4316,Undergraduate,Traditions of Architectural Practice,3,GJ,90610,TR,Van Leer C457,George Johnston (P),"Critical examination of architectural practice. Cultural derivation and technological transformation of various conventions of representation, construction, and design; speculation about future paradigms of architectural practice.","ARCH 4316 Traditions of Architectural Practice Critical examination of architectural practice. Cultural derivation and technological transformation of various conventions of representation, construction, and design; speculation about future paradigms of architectural practice."
ARCH 4699,Undergraduate,Undergraduate Research,1,SK,87079,,TBA,Sabir Khan (P),Independent research conducted under the guidance of a faculty member.,ARCH 4699 Undergraduate Research Independent research conducted under the guidance of a faculty member.
ARCH 4803,Undergraduate,Hcare Des/Future,3,CZ;EDJ;PY,87730;88040;90797,T;R;F,Clough UG Learning Commons 102;Van Leer C241;Clough UG Learning Commons 127,;Ellen Dunham-Jones (P);Dimitrios Mavris,No course description is available.,ARCH 4803 Hcare Des/Future No course description is available.
ARCH 4823,Undergraduate,"Special Topics: History, Theory, and Criticism",3,ED;HO1;HP;SB1,90726;90230;93935;90799,TR;TR;TR;TR,TBA;West Architecture 260;TBA;Skiles 256,Elisa Dainese (P);William LeBlanc (P);Elisa Dainese (P);Sonit Bafna (P),Special Topics in History and Theory Prerequisite: consent of the College. Topics in advanced areas of history and theory of architecture.,"ARCH 4823 Special Topics: History, Theory, and Criticism Special Topics in History and Theory Prerequisite: consent of the College. Topics in advanced areas of history and theory of architecture."
ARCH 4833,Undergraduate,Materials/Fabrications,3,CS;GM1;HD2;IB1;LD1;MC1;TM,93822;91938;90228;90361;90607;90410;87757,F;R;TR;MW;TR;MW;TR,TBA;West Architecture 359;Clough UG Learning Commons 129;College of Computing 17;TBA;East Architecture 309;West Architecture 258,Christoph Simon (P);Geoffrey Maulion (P);Harris Dimitropoulos (P);Thomas Gentry;Lane Duncan (P);Mark Cottle (P);Marionyt Marshall (P),Special Topics in Technology Prerequisite: consent of the College.,ARCH 4833 Materials/Fabrications Special Topics in Technology Prerequisite: consent of the College.
ARCH 4901,Undergraduate,Special Problems,1,SR,87965,,TBA,Stuart Romm (P),No course description is available.,ARCH 4901 Special Problems No course description is available.
ARCH 4903,Undergraduate,Special Problems,1,DW;RG;SK;TA;TR,89640;88088;90946;87338;92549,;;;;,TBA;TBA;TBA;TBA;TBA,Danielle Willkens (P);Thomas Gentry (P);Sabir Khan (P);Tristan Al-Haddad (P);Tarek Rakha (P),No course description is available.,ARCH 4903 Special Problems No course description is available.
ARCH 6010,Graduate,Media + Modeling 1,3,MMC,88526,M,TBA,Andrew Bruno (P),Introductory approaches to two and three dimensional modeling and representation in architecture using both manual and digital media and techniques.,ARCH 6010 Media + Modeling 1 Introductory approaches to two and three dimensional modeling and representation in architecture using both manual and digital media and techniques.
ARCH 6020,Graduate,Media + Modeling 2,3,2Y;2Y2,93722;92317,MW;MW,TBA;TBA,Emilio Hernandez (P);Mehmet Bermek (P),Intermediate approaches to two dimensional modeling and representation in architecture using both manual and digital media techniques.,ARCH 6020 Media + Modeling 2 Intermediate approaches to two dimensional modeling and representation in architecture using both manual and digital media techniques.
ARCH 6028,Graduate,Core 1 Studio,5,MA,91937,M,TBA,,"Foundation studies in architectural design emphasizing analytical and analogical generative strategies applied to studio problems that engage architectural representation, composition, and fabrication.","ARCH 6028 Core 1 Studio Foundation studies in architectural design emphasizing analytical and analogical generative strategies applied to studio problems that engage architectural representation, composition, and fabrication."
ARCH 6039,Graduate,Advanced Architectural Studio 1,6,A;BB;FP;HH;HW;KS;MC;MG;VN,88469;89491;89558;92352;92428;90723;89490;89557;92427,M;M;M;M;M;M;M;M;M,East Architecture 123;TBA;East Architecture 107;West Architecture 258;TBA;TBA;TBA;TBA;TBA,;;;;;;Mark Cottle (P);;,"Architectural design studio exploring advanced issues in architecture from the perspectives of professional practice, sustainability, technology and urban design.","ARCH 6039 Advanced Architectural Studio 1 Architectural design studio exploring advanced issues in architecture from the perspectives of professional practice, sustainability, technology and urban design."
ARCH 6049,Graduate,Design + Research Studio 1,6,A;AE;DB;JP;MM;PY;RD,89225;90725;89559;89478;89465;90729;89467,M;M;M;M;M;M;M,TBA;East Architecture 309;West Architecture 259;TBA;West Architecture 260;TBA;TBA,;;;;;;,"Advanced architectural design emphasizing innovation through applied research. Emerging methods of design generation/evaluation. Changing topics: healthcare, fabrication, urbanism, ecology, building performance, cultural institutions.","ARCH 6049 Design + Research Studio 1 Advanced architectural design emphasizing innovation through applied research. Emerging methods of design generation/evaluation. Changing topics: healthcare, fabrication, urbanism, ecology, building performance, cultural institutions."
ARCH 6105,Graduate,Architectural History I - Antiquity through the 18th Century,3,TBA,86667,TR,East Architecture 123,,"Architectural history from aniquity through the 18th century emphasizing buildings in their cultural context as informed by social, technological, and constructive factors and theoretical positions.  Credit not allowed for both ARCH 6105 and ARCH 4105 or ARCH 2111.","ARCH 6105 Architectural History I - Antiquity through the 18th Century Architectural history from aniquity through the 18th century emphasizing buildings in their cultural context as informed by social, technological, and constructive factors and theoretical positions.  Credit not allowed for both ARCH 6105 and ARCH 4105 or ARCH 2111."
ARCH 6151,Graduate,Theories of Urban Design,3,ED1,94239,R,Van Leer C241,Ellen Dunham-Jones (P),"Contemporary theories of urban design and their relationship to the contemporary city examined through architects&#39; writings, urban projects, and interdisciplinary criticism.","ARCH 6151 Theories of Urban Design Contemporary theories of urban design and their relationship to the contemporary city examined through architects&#39; writings, urban projects, and interdisciplinary criticism."
ARCH 6227,Graduate,Architecture and Ecology,3,FP,91768,MW,D.M. Smith 208,Frederick Pearsall (P),"Introduction to ecological design theory, research, and practice in architecture, including writings, criticism, and analyses of buildings and projects.","ARCH 6227 Architecture and Ecology Introduction to ecological design theory, research, and practice in architecture, including writings, criticism, and analyses of buildings and projects."
ARCH 6229,Graduate,Construction Technology and Design Integration I,3,CR,83848,TR,Ford Environmental Sci &amp; Tech L1255,Charles Rudolph (P),"Introduction to building anatomy, technical and expressive characteristics of materials and their organizational assembly.  Credit not allowed for both ARCH 6229 and ARCH 4219.","ARCH 6229 Construction Technology and Design Integration I Introduction to building anatomy, technical and expressive characteristics of materials and their organizational assembly.  Credit not allowed for both ARCH 6229 and ARCH 4219."
ARCH 6242,Graduate,Building Physics Modeling,3,TM,83849,TR,West Architecture 258,Marionyt Marshall (P),"Survey of basic thermo-fluid energy and mass flows in buildings, the interrelations between these flows, physical system modeling, and implications for building performance goals.","ARCH 6242 Building Physics Modeling Survey of basic thermo-fluid energy and mass flows in buildings, the interrelations between these flows, physical system modeling, and implications for building performance goals."
ARCH 6271,Graduate,Healthcare Design of the Future,3,YB,87729,T,Clough UG Learning Commons 102,,Introduction to research-based approaches to integrated healthcare design innovation.,ARCH 6271 Healthcare Design of the Future Introduction to research-based approaches to integrated healthcare design innovation.
ARCH 6303,Graduate,Urban Design: Policy and Implementation,3,MD1,86440,TR,D.M. Smith 15,Michael Dobbins (P),"Introduction to urban design policy and practice across a range of scales including planning, architecture, landscape architecture, civil engineering, public policy and administration.  Credit not allowed for both ARCH 6303 and CP 6834.","ARCH 6303 Urban Design: Policy and Implementation Introduction to urban design policy and practice across a range of scales including planning, architecture, landscape architecture, civil engineering, public policy and administration.  Credit not allowed for both ARCH 6303 and CP 6834."
ARCH 6313,Graduate,Traditions of Architectural Practice,3,GJ,90606,TR,Van Leer C457,George Johnston (P),"Critical examination of architectural practice. Cultural derivation and technological transformation of various conventions of representation, construction, and design; speculations about future paradigms of architectural practice.","ARCH 6313 Traditions of Architectural Practice Critical examination of architectural practice. Cultural derivation and technological transformation of various conventions of representation, construction, and design; speculations about future paradigms of architectural practice."
ARCH 6315,Graduate,Practice of Architecture I,3,RP,85149,TR,East Architecture 123,Stuart Romm (P),"Architectural practice from historical, sociological, and ethical perspectives with focus on professional leadership, practice management, and entrepreneurship.","ARCH 6315 Practice of Architecture I Architectural practice from historical, sociological, and ethical perspectives with focus on professional leadership, practice management, and entrepreneurship."
ARCH 6352,Graduate,Theory of Architecture 2,3,ED;ED2;FP;MC;SB,90727;94240;92085;87166;90798,TR;R;MW;MW;TR,TBA;Van Leer C241;D.M. Smith 208;East Architecture 309;Skiles 256,Elisa Dainese (P);Ellen Dunham-Jones (P);Frederick Pearsall (P);Mark Cottle (P);Sonit Bafna (P),"Approaches to architectural form, style, and tectonics from aesthetic, social, and technological perspectives.  Instrumental and symbolic uses of architectural media in design and building production.","ARCH 6352 Theory of Architecture 2 Approaches to architectural form, style, and tectonics from aesthetic, social, and technological perspectives.  Instrumental and symbolic uses of architectural media in design and building production."
ARCH 6506,Graduate,"Construction Materials, Systems, and Fabrications",3,CS,93821,F,TBA,Christoph Simon (P),"Physical and constructional properties of building materials.  Fabrication techniques for building components. Digital representations of materials, components, and fabrication processes.","ARCH 6506 Construction Materials, Systems, and Fabrications Physical and constructional properties of building materials.  Fabrication techniques for building components. Digital representations of materials, components, and fabrication processes."
ARCH 6531,Graduate,Environmental Systems I,3,DE,85732,MW,Klaus Advanced Computing 2456,,"Basics of heat, light, and sound applied to buildings. Thermal loading, passive thermal control, thermal comfort, climate, passive solar strategies, light and daylighting, acoustics.","ARCH 6531 Environmental Systems I Basics of heat, light, and sound applied to buildings. Thermal loading, passive thermal control, thermal comfort, climate, passive solar strategies, light and daylighting, acoustics."
ARCH 7000,Graduate,Master&#39;s Thesis,1,AE;CZ;EDJ;GA;RG;TR,87953;89598;87276;83955;88052;89601,;;;;;,TBA;TBA;TBA;;TBA;TBA,Athanassios Economou (P);Craig Zimring (P);Ellen Dunham-Jones (P);;Thomas Gentry (P);Tarek Rakha (P),Thesis,ARCH 7000 Master&#39;s Thesis Thesis
ARCH 7013,Graduate,Urban Design Studio 1,6,RD,89466,M,TBA,,"Urban design studio problems focusing on analysis, design, and implementation strategies for contemporary urban problems.","ARCH 7013 Urban Design Studio 1 Urban design studio problems focusing on analysis, design, and implementation strategies for contemporary urban problems."
ARCH 7030,Graduate,Media + Modeling 3,3,EH;YO,89556;90728,MW;MW,West Architecture 359;West Architecture 358,Yeinn Oh (P);Yeinn Oh (P),Advanced approaches to two and three dimensional modeling and representation in architecture using both manual and digital media and techniques.,ARCH 7030 Media + Modeling 3 Advanced approaches to two and three dimensional modeling and representation in architecture using both manual and digital media and techniques.
ARCH 7350,Graduate,Foundations of Architectural Theory,3,TBA,88985,TR,Scheller College of Business 200,,"Reviews thought and attitudes guiding architecture since the modern movement, their philosophical sources, and their relationship with architectural production. Defines architectural theory.","ARCH 7350 Foundations of Architectural Theory Reviews thought and attitudes guiding architecture since the modern movement, their philosophical sources, and their relationship with architectural production. Defines architectural theory."
ARCH 8799,Graduate,Qualifying Paper,1,AE;CZ;ED;EDJ;GA;GJ;JP;JS;LS;PY;RB;RG;SB;SB1;TR;VN;WW,87080;87081;94017;87082;87083;87084;87085;87086;87087;92506;90919;87088;87089;92337;87850;92192;89619,;;;;;;;;;;;;;;;;,TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA,Athanassios Economou (P);Craig Zimring (P);Elisa Dainese (P);Ellen Dunham-Jones (P);Godfried Augenbroe (P);George Johnston (P);John Peponis (P);;Lars Spuybroek (P);Perry Yang (P);Roger Ball (P);Thomas Gentry (P);Sonit Bafna (P);Sonit Bafna (P);Tarek Rakha (P);Vernelle Noel (P);Wei Wang (P),Preparation for Qualifying Paper in Doctorial Program in Architecture,ARCH 8799 Qualifying Paper Preparation for Qualifying Paper in Doctorial Program in Architecture
ARCH 8803,Graduate,Special Topics,3,MR;PY,92473;90796,WF;F,TBA;Clough UG Learning Commons 127,Michelle Rinehart (P);Dimitrios Mavris,No course description is available.,ARCH 8803 Special Topics No course description is available.
ARCH 8823,Graduate,"Special Topics: History, Theory, and Criticism",3,ED;SB,90709;89525,TR;TR,TBA;Skiles 256,Elisa Dainese (P);Sonit Bafna (P),No course description is available.,"ARCH 8823 Special Topics: History, Theory, and Criticism No course description is available."
ARCH 8833,Graduate,Special Topics: Architectural Technology,3,DUM;HD3;IB1;LD2;MC;RV,91952;90414;88476;90608;86276;86203,F;TR;MW;TR;MW;R,East Architecture 123;Clough UG Learning Commons 129;College of Computing 17;TBA;East Architecture 309;West Architecture 359,;Harris Dimitropoulos (P);;Lane Duncan (P);Mark Cottle (P);Geoffrey Maulion (P),No course description is available.,ARCH 8833 Special Topics: Architectural Technology No course description is available.
ARCH 8873,Graduate,Special Topics,3,A;A01,88477;89258,T;R,Manufacture Rel Discip Complex 2404;TBA,Thomas Gentry;Michael Gamble (P),No course description is available.,ARCH 8873 Special Topics No course description is available.
ARCH 8901,Graduate,Special Problems,1,EDJ,91066,,TBA,Ellen Dunham-Jones (P),No course description is available.,ARCH 8901 Special Problems No course description is available.
ARCH 8903,Graduate,Special Problems,1,AE;AR;BF;CZ;DB;DS;ED;EDJ;GA;GJ;HC;JB;JD1;JDO;JK;JP;KK;MG;MS;PY;RB;RD;RG;RG1;RGR;RR;SB;SB1;SR;SWL;TA;TR;TR1;VN;WW,89895;92600;86630;88095;87288;86085;92553;86425;86549;87488;86347;87305;87290;87008;87197;87522;87231;90916;86605;92507;88272;89830;89863;86396;86428;90971;85011;90914;92229;91049;87229;88251;91750;88283;87512,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA,Athanassios Economou (P);Arthi Rao (P);Benjamin Flowers (P);Craig Zimring (P);Daniel Baerlecken (P);Dennis Shelden (P);Elisa Dainese (P);Ellen Dunham-Jones (P);Godfried Augenbroe (P);George Johnston (P);Thomas Gentry (P);Jason Brown (P);Jonathan Dessi-Olive (P);Jonathan Dessi-Olive (P);Julie Kim (P);John Peponis (P);Keith Kaseman (P);Michael Gamble (P);Matthew Swarts (P);Perry Yang (P);Roger Ball (P);Richard Dagenhart (P);Thomas Gentry (P);Thomas Gentry (P);Ryan Gravel (P);Ryan Roark (P);Sonit Bafna (P);Sonit Bafna (P);Stuart Romm (P);Sang-Won Leigh (P);Tristan Al-Haddad (P);Tarek Rakha (P);Tarek Rakha (P);Vernelle Noel (P);Wei Wang (P),No course description is available.,ARCH 8903 Special Problems No course description is available.
ARCH 8997,Graduate,Teaching Assistantship,1,AE;CR;DB;DS;DW;EDJ;FP;GA;GJ;GM;HD;JB;JD;JL;JP;LS;MC;MG;MR;RD;RG;RP;RR;SB;SK;SM;TR,87090;87092;89733;87093;88217;89732;87094;87091;87095;92333;87096;87097;92246;87098;89865;87099;87100;87101;87291;87102;87103;87295;89610;89690;87104;87105;88109,;;;;;;;;;;;;;;;;;;;;;;;;;;,TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;;TBA;TBA;TBA;TBA;TBA,Athanassios Economou (P);Charles Rudolph (P);Daniel Baerlecken (P);Dennis Shelden (P);Danielle Willkens (P);Ellen Dunham-Jones (P);Frederick Pearsall (P);Godfried Augenbroe (P);George Johnston (P);Geoffrey Maulion (P);Harris Dimitropoulos (P);Jason Brown (P);Jennifer Dubose (P);William LeBlanc (P);James Park (P);Lars Spuybroek (P);Mark Cottle (P);Michael Gamble (P);Michelle Rinehart (P);Richard Dagenhart (P);Thomas Gentry (P);;Ryan Roark (P);Sonit Bafna (P);Sabir Khan (P);Richard Marble (P);Tarek Rakha (P),For graduate students holding graduate teaching assistantships.,ARCH 8997 Teaching Assistantship For graduate students holding graduate teaching assistantships.
ARCH 8998,Graduate,Research Assistantship,1,AE;CR;CZ;DS;EDJ;GA;JB;JD;JK;JP;JS;KK;MG;MM;NP;RD;RG;SM;TR,87106;87107;87108;87109;87110;87111;87112;92221;87113;87114;87115;87116;87117;88004;87464;87118;87119;89605;88228,;;;;;;;;;;;;;;;;;;,TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA,Athanassios Economou (P);Charles Rudolph (P);Craig Zimring (P);Dennis Shelden (P);Ellen Dunham-Jones (P);Godfried Augenbroe (P);Jason Brown (P);Jennifer Dubose (P);Julie Kim (P);John Peponis (P);;Keith Kaseman (P);Michael Gamble (P);Miroslav Malesevic (P);Noah Posner (P);Richard Dagenhart (P);Thomas Gentry (P);Richard Marble (P);Tarek Rakha (P),For gratuate students holding graduate research assistantships.,ARCH 8998 Research Assistantship For gratuate students holding graduate research assistantships.
ARCH 8999,Graduate,Preparation for Doctoral Dissertation,1,AE;BF;CZ;DS;EDJ;GA;GJ;JB;JD;JP;JS;LA;LS;RD;RG;SB;SWL;TR;WW;YB,87120;87121;87122;87980;87123;87124;87125;87126;92247;87127;87128;87481;87129;87130;87131;87132;90881;89734;89760;87494,;;;;;;;;;;;;;;;;;;;,TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA,Athanassios Economou (P);Benjamin Flowers (P);Jennifer Dubose (P);Dennis Shelden (P);Ellen Dunham-Jones (P);Godfried Augenbroe (P);George Johnston (P);Jason Brown (P);Jennifer Dubose (P);John Peponis (P);;Libero Andreotti (P);Lars Spuybroek (P);Richard Dagenhart (P);Thomas Gentry (P);Sonit Bafna (P);Sang-Won Leigh (P);Tarek Rakha (P);Wei Wang (P);,No course description is available.,ARCH 8999 Preparation for Doctoral Dissertation No course description is available.
ARCH 9000,Graduate,Doctoral Thesis,1,AE;CZ;EDJ;GA;GJ;JB;JK;JP;JS;LA;LS;RD;RG;SB;TR,87133;87134;87955;87135;92524;87136;87140;87137;87138;88062;87139;87141;87142;87143;90474,;;;;;;;;;;;;;;,TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA,Athanassios Economou (P);Craig Zimring (P);Ellen Dunham-Jones (P);Godfried Augenbroe (P);George Johnston (P);James Budd (P);Julie Kim (P);John Peponis (P);;Libero Andreotti (P);Lars Spuybroek (P);Richard Dagenhart (P);Thomas Gentry (P);Sonit Bafna (P);Tarek Rakha (P),No course description is available.,ARCH 9000 Doctoral Thesis No course description is available.
BIOS 1107,Undergraduate,Biological Principles,3,A;B;HP,91096;92744;92002,MWF;MWF;MWF,Clough UG Learning Commons 152;D.M. Smith 105;Clough UG Learning Commons 152,Shana Kerr (P);Shana Kerr (P);Shana Kerr (P),"An introduction to biological principles, including biomacromolecules, bioenergetics, cell structure, genetics, evolution, and ecological relationships for STEM majors and prehealth students.","BIOS 1107 Biological Principles An introduction to biological principles, including biomacromolecules, bioenergetics, cell structure, genetics, evolution, and ecological relationships for STEM majors and prehealth students."
BIOS 1107L,Undergraduate,Biological Principles Laboratory,1,A01;A02;A03;A04;A05;A06;A07;A08;A17;A18;B01;B02;B03;B04;B05;B06;B07;B08;E03;E04;E16;H16,91515;91517;91525;91516;93520;91521;91523;91524;93509;93510;92003;92062;91724;91725;91522;91726;92004;92005;91519;91520;91518;93511,M;M;T;T;W;W;R;R;R;R;M;M;T;T;W;W;R;R;T;T;W;W,Clough UG Learning Commons 483;Clough UG Learning Commons 483;Clough UG Learning Commons 483;Clough UG Learning Commons 483;Clough UG Learning Commons 483;Clough UG Learning Commons 483;Clough UG Learning Commons 483;Clough UG Learning Commons 483;Clough UG Learning Commons 487;Clough UG Learning Commons 487;Clough UG Learning Commons 481;Clough UG Learning Commons 481;Clough UG Learning Commons 481;Clough UG Learning Commons 481;Clough UG Learning Commons 481;Clough UG Learning Commons 481;Clough UG Learning Commons 481;Clough UG Learning Commons 481;Clough UG Learning Commons 481;Clough UG Learning Commons 481;Clough UG Learning Commons 487;Clough UG Learning Commons 487,Colin Harrison (P);Colin Harrison (P);Colin Harrison (P);Colin Harrison (P);Colin Harrison (P);Colin Harrison (P);Colin Harrison (P);Colin Harrison (P);Colin Harrison (P);Colin Harrison (P);Colin Harrison (P);Colin Harrison (P);Colin Harrison (P);Colin Harrison (P);Colin Harrison (P);Colin Harrison (P);Colin Harrison (P);Colin Harrison (P);Colin Harrison (P);Colin Harrison (P);Colin Harrison (P);Colin Harrison (P),"A laboratory-based introduction to biological principles, including biomacromolecules, bioenergetics, cell structure, genetics, evolution, and ecological relationships for STEM majors and prehealth students.","BIOS 1107L Biological Principles Laboratory A laboratory-based introduction to biological principles, including biomacromolecules, bioenergetics, cell structure, genetics, evolution, and ecological relationships for STEM majors and prehealth students."
BIOS 1107R,Undergraduate,BIOS 1107 Recitation,0,A;B,91097;92079,T;T,Clough UG Learning Commons 152;Clough UG Learning Commons 152,Shana Kerr (P);Shana Kerr (P),Recitation for BIOS 1107,BIOS 1107R BIOS 1107 Recitation Recitation for BIOS 1107
BIOS 1108,Undergraduate,Organismal Biology,3,A;B,91098;92745,MWF;MWF,Howey Physics L1;Klaus Advanced Computing 1443,Onur Birol (P);Onur Birol (P),"An introduction to organ and organismal biology, emphasizing physiological processes, growth/development, and biodiversity from an evolutionary perspective for STEM majors and prehealth students.","BIOS 1108 Organismal Biology An introduction to organ and organismal biology, emphasizing physiological processes, growth/development, and biodiversity from an evolutionary perspective for STEM majors and prehealth students."
BIOS 1108L,Undergraduate,Organismal Biology Laboratory,1,A01;A02;A03;A04;A05;A06;A07;A08;B02;B03;B04;B05;B06;B07;B08,91526;91527;91528;91529;91530;91531;91532;91533;93512;93513;93514;93515;93516;93517;93518,M;M;T;T;W;W;R;R;M;T;T;W;W;R;R,Clough UG Learning Commons 473;Clough UG Learning Commons 473;Clough UG Learning Commons 473;Clough UG Learning Commons 473;Clough UG Learning Commons 473;Clough UG Learning Commons 473;Clough UG Learning Commons 473;Clough UG Learning Commons 473;Clough UG Learning Commons 475;Clough UG Learning Commons 475;Clough UG Learning Commons 475;Clough UG Learning Commons 475;Clough UG Learning Commons 475;Clough UG Learning Commons 475;Clough UG Learning Commons 475,Colin Harrison (P);Colin Harrison (P);Colin Harrison (P);Colin Harrison (P);Colin Harrison (P);Colin Harrison (P);Colin Harrison (P);Colin Harrison (P);Colin Harrison (P);Colin Harrison (P);Colin Harrison (P);Colin Harrison (P);Colin Harrison (P);Colin Harrison (P);Colin Harrison (P),"A laboratory-based introduction to organ and organismal biology, emphasizing physiological processes, growth/development, and biodiversity from an evolutionary perspective for STEM majors and prehealth students.","BIOS 1108L Organismal Biology Laboratory A laboratory-based introduction to organ and organismal biology, emphasizing physiological processes, growth/development, and biodiversity from an evolutionary perspective for STEM majors and prehealth students."
BIOS 1108R,Undergraduate,BIOS 1108 Recitation,0,A;B,91099;92746,T;T,College of Computing 16;Klaus Advanced Computing 1443,Onur Birol (P);Onur Birol (P),Recitation for BIOS 1108,BIOS 1108R BIOS 1108 Recitation Recitation for BIOS 1108
BIOS 1207,Undergraduate,Biological Principles for Majors,3,A,88347,MWF,College of Computing 17,Joseph Montoya,"An introduction to the basic principles of modern biology, including biomacromolecules, bioenergetics, cell structure, genetics, evolution, and ecological relationships.","BIOS 1207 Biological Principles for Majors An introduction to the basic principles of modern biology, including biomacromolecules, bioenergetics, cell structure, genetics, evolution, and ecological relationships."
BIOS 1207L,Undergraduate,Biological Principles Project Laboratory,1,A01;A02;A03;A04,89041;89042;89043;89044,M;M;T;T,Clough UG Learning Commons 487;Clough UG Learning Commons 487;Clough UG Learning Commons 487;Clough UG Learning Commons 487,Colin Harrison (P);Colin Harrison (P);Colin Harrison (P);Colin Harrison (P),"A project-based laboratory introduction to the basic principles of modern biology, including biomacromolecules, bioenergetics, cell structure, genetics, evolution, and ecological relationships,","BIOS 1207L Biological Principles Project Laboratory A project-based laboratory introduction to the basic principles of modern biology, including biomacromolecules, bioenergetics, cell structure, genetics, evolution, and ecological relationships,"
BIOS 1207R,Undergraduate,BIOS 1207 Recitation,0,A,89985,T,College of Computing 17,Joseph Montoya,Recitation for BIOS 1207,BIOS 1207R BIOS 1207 Recitation Recitation for BIOS 1207
BIOS 2300,Undergraduate,Ecology,3,A,88351,MWF,Boggs B9,Jennifer Mcguire (P),"Introduction to ecological processes at individual, population, and community levels that occur in plant, animal, and microbial taxa, and their relevance to current environmental problems.","BIOS 2300 Ecology Introduction to ecological processes at individual, population, and community levels that occur in plant, animal, and microbial taxa, and their relevance to current environmental problems."
BIOS 2301,Undergraduate,Ecology Laboratory,1,A1;A2;A3;A4;A5;A6,89032;89033;92010;92011;89034;89035,T;T;W;W;R;R,Kendeda 180;Kendeda 180;Kendeda 180;Kendeda 180;Kendeda 180;Kendeda 180,Emily Weigel (P);Emily Weigel (P);Emily Weigel (P);Emily Weigel (P);Emily Weigel (P);Emily Weigel (P),"The companion laboratory for BIOS 2300 (Ecology). This course stresses understanding ecological concepts through a combination of lab and field experiments, and computer simulations.","BIOS 2301 Ecology Laboratory The companion laboratory for BIOS 2300 (Ecology). This course stresses understanding ecological concepts through a combination of lab and field experiments, and computer simulations."
